album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
single;03lU6F2KaUF9u9gv7y5AAF;Smile;0r1XqloQL2mm67QcMKqLlF;Anne Funk;2019-10-19;2
single;03or7d3935ln3RXzDxCxln;Бела девойка;2soyRZpeDp6MdursqHvUUr;Балканджи;2018-10-31;4
album;03orrmAse4EcAn91bh5CG9;Christmas Instrumental Playlist: New Relaxed Arrangements of Classic Christmas Songs;3Z65BRrIdswAURwxfbxi8C;Thomas Benjamin Cooper;2020-10-04;3
single;03p3zDljISccKrUqd9IR5R;Meitenes vel pasakam tic;2AqATc9sKdp4SmnXCnZeof;Ieva Karevica un Igo;2013-07-03;3
single;03sqxmo9u1YbjNLjrOd9Jg;Oțelu Măcelaru;7y2DXdRackYULQq4qsCxpL;Robin and the Backstabbers;2018-06-25;4
single;03t8FzTXcGDwF7zb4DK8DP;Забывай;0GX67RZtW1T3B04TmGgAMD;Дороф;2020-11-12;3
album;03tZgwAupBLjVn77RTnIby;Flowers of Love;1ZlG1D1vl8qn1TacX1T9mA;Reet Laube;2017-01-25;2
single;03vJ5NQDlZT88qTG46FhHz;Mami;71R7WOvAkBLNLHqkJbUvNG;Cozy99;2020-11-11;2
single;03vqlvrh3Y2Esp8JgQPLeE;someone that sees me;6WjUkE9acsGImdxICZlWTg;Yahia Khalifa;2020-09-25;2
single;040pjBWKQmSX6p9F0XXqay;Vitamin;27khhElHfjt2HdiU4OHlxT;Krisia Todorova;2019-07-05;4
single;041yoGQXytDkbHuOFeWB2d;Lavender / I Want Peace;0gp2EoMHGiVIho7ba9nPmw;DiMO (BG);2020-10-30;4
single;049FZ04uFxJm43qJGi5LkZ;Mental State;4dL1NLMpgnXxvWZuwnnQ0Z;Aurum Miles;2020-01-16;2
compilation;049eoMtn9CaFFGjoNTfTKT;Пайнер Хит Сезони Пролет - 2015;0LyfQWJT6nXafLPZqxe9Of;Various Artists;2015;3
single;04CYSBCUrVqDOG42K5RkJc;Аз съм ти си;6URykZzv72st8HDMcJNrsV;Dim4ou;2017-06-13;1
single;04CvajINl0ftDn0MLeKYWG;9;2Gcjpzs3QUG2YAalUXUIOu;Vandeta 9;2019-03-20;2
album;04DQvhf2ddgLw8zW1O9kxN;Music for Sale;35CDKwBNT9iAqHY1lBfk4J;Logan Carol;2020-08-21;2
album;04Kzt6fCEPpB366BijiVCp;Au Nom De La Foi (V imeto na Vyarata);4xZB8N5b1JO61H5IAuR1g0;Lili Ivanova;2010-06-23;4
single;04PQcZiSBClL0QlOGxchft;La Noche Me Llama;2weGfox1CWg9HmmwDgcjey;Marcos da costa;2018-08-16;4
single;04RFzBTDzRq0XJ1v3L7wXy;Empress of Devastation;5GDFd20klrIuqrYDaOBqCG;Intrepid;2020-10-10;3
album;04T8MwvLphLcd5MxKx0v5X;הקול שלי;5UrHjQM7Aio9VGDeo8WpWd;Maya Bar Shalom;2016-10-10;3
single;04TsUEfOG8hbv8bN5omEu2;A Világ Tetején;07GxigvbhqXSdkl9dhR3tk;Kertekalatt;2020-08-20;4
single;04YLUBQbmaDjXG6mqLJXy4;Kõrgel;20vQyQnI0P1oCqNwSTTSiP;Kolm Sõpra;2020-02-02;2
single;04YYBUBvUK7HfD6fWQQYcp;I Can't Breathe;0AIvPC8ulVLwj7CiilwgVX;Stephan Pie;2020-06-19;1
single;04ZHUYSRVzHP5RYhpMlJnM;Moderns Prieks;0Ra2rXRIgnTwLPaNAFguuz;Banga;2020-01-16;2
single;04adXZSMIQKyXuwLdS9nHe;Kõik Mis Ta Kirjutas;5MHTZYgQwVki5RjhAbarxt;Sonic;2020-09-04;1
single;04dj5racrGfOv70oNobDAL;Nõiaring;6NdZxzh7mv5n8MZry6xpxQ;Goresoerd;2020-04-30;3
single;04eVNK4tzJPNr4hkkFHELQ;Gilisztalekvár;2Nk1mhU4KTC2HF2Kc0XOT3;Giliszta;2018-04-05;4
album;04ekfq7aC8ZjtmO1AzfBdX;Fulfill the Order;4EZbAdHFi4CHVC6StASdKA;Rote;2020-07-12;1
album;04wSdUDm5u8drcmW9YjAVM;Парамагнетик;0Jn4TsKUvQaOy4trcI5vqR;2MANIC;2020-11-13;4
album;0528rwxjYzcMQvrsZ357TN;Watercolor (Акварел);5qKobEcRJRYtlEhwjsX9sj;Tochka Bg;2012-12-11;2
