album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;56s1eNqK4UU3MOq4tnGcrm;Cherry Blossom (Extended, Pt. 1);7gAppWoH7pcYmphCVTXkzs;The Vamps;2020-11-27;54
album;3miX7IkmfMBJhQejq5rsA6;Christmas (Baby, Please Come Home);391oLRVmoTkumiN79HkTWu;Darlene Love;2020-12-04;49
single;6OvECyR3eoMORZcXc2sptA;For Now;6L1XC7NrmgWRlwAeLJvVtA;Sam Fischer;2020-11-27;57
single;0CYWtgfYNiTjAvyc9NU0rr;Oops (I'm Sorry) (Remixes);3hyEbRtp617pNCuuQjyOmc;Lost Kings;2020-11-27;55
single;0fz7mvsACRDrvT5PYTt4U9;Más De La Una;4bw2Am3p9ji3mYsXNXtQcd;Piso 21;2020-12-03;62
single;0mDWJ42cXnbRvrGl7terEQ;Pain Show;4PNHuWkk4ee6R8WEhFVPf5;NoCap;2020-12-04;28
single;5lgtHvOit4brfkrnJ6LSvw;No Limit;220xv2aB3dsGxaJI1gGs7l;Hotboii;2020-11-27;46
single;7ms1PrkJ0VXj4SL2TCBj0E;M-Dox;6sLwRSXSUF5JTUnQaFenyj;Christopher Jackson;2020-11-30;1
single;1UWZcQpnHgYkFKbiZtovW1;Paranorm;6sLwRSXSUF5JTUnQaFenyj;Christopher Jackson;2020-11-30;0
single;1r1TYHmD93FufjaVhU8QNE;Spacey;6sLwRSXSUF5JTUnQaFenyj;Christopher Jackson;2020-11-30;0
single;71iWWwLphuHsIiYr7b8aBL;Gost;6sLwRSXSUF5JTUnQaFenyj;Christopher Jackson;2020-11-27;0
single;6Yilrs37lHc4QlwIbIfZDj;Say I Won't;6APm8EjxOHSYM5B4i3vT3q;MercyMe;2020-12-04;42
single;42sVJtT6aGuMhs53WJ2np0;Moonlight;0HkcYmcjrBR3SCw9Ld5VZk;Calboy;2020-11-29;23
single;0Po6kmGWtMvBOi7YV8dcNg;XXL Freestyle;0HkcYmcjrBR3SCw9Ld5VZk;Calboy;2020-12-02;22
single;1UiIz58AGc20MDp1LMYsdu;WITH LOVE;39vA9YljbnOApXKniLWBZv;Sylvan Esso;2020-12-02;46
single;1K9D8FQvyVnx7bGEyZR0nP;RaeLynn: Merry Christmas;5dMnvpYEfXvSexjwnSRH5n;RaeLynn;2020-11-25;50
single;7vwNx4bEAKeDSZ3LbYknsA;Light Switch (feat. Gunplay);6X8WdFjrNhXATMDSs26aCc;Curren$y;2020-11-25;17
single;5FmL6MEZWrO4tP8legvWrh;Let It Snow;4V8Sr092TqfHkfAA5fXXqG;Luis Fonsi;2020-11-26;29
single;26r1WFenx1zV0HT28AwLaE;Vaya Vaya;07PdYoE4jVRF6Ut40GgVSP;Cartel De Santa;2020-11-30;61
single;46r2UeGqivWeS4yllVuWIw;Loner;0uGk2czvcpWQA383Im6ajf;Maggie Lindemann;2020-12-04;48
album;4cMqr81qz3DDxekYlUfEcF;Swag 3;6GMYJwaziB4ekv1Y6wCDWS;Soulja Boy;2020-11-29;36
single;4UnrMk76g1SudViN9NbvBl;Age of Machine;4NpFxQe2UvRCAjto3JqlSl;Greta Van Fleet;2020-12-04;52
single;6O5ne8HY1fri3XFrW6iHgX;Regalo Equivocado (En Vivo);24z2EWgF5nVUKnbJHd9ku2;Grupo Laberinto;2020-12-02;29
compilation;3Ldk5d5klGgy1uqnNWifLA;Subsidia Night: Vol. 2;5FKchcZpQOkqFvXBj1aCvb;Excision;2020-12-01;49
single;64FL2oQINZPAIfz3axVOU7;remember the mornings;7okSU80WTrn4LXlyXYbX3P;Clinton Kane;2020-11-27;58
single;0v23dJYE5jS3IUzuu20m9p;Brawlin;62DmErcU7dqZbJaDqwsqzR;Popcaan;2020-11-30;37
single;38nzrsW9xZYtccPVQLbmVb;bb u ok?;0jNDKefhfSbLR9sFvcPLHo;San Holo;2020-12-01;52
single;1merTrDrEz4kSBkQpEHA0S;SKATE;6veh5zbFpm31XsPdjBgPER;BIA;2020-11-29;49
single;3KouPtRhUUT2e7XZ89jtzk;Time Fades Away;5sWHDYs0csV6RS48xBl0tH;Two Feet;2020-12-04;47
single;70msNpVDwWvEjtsSKZgDti;CLOSE FRIENDS;61qMnYXa1GxSBoV3IiYKjZ;Yung Pinch;2020-12-04;43
single;5NtKrfwZxmlS00F6VxszyV;KISSLETOE;0FWzNDaEu9jdgcYTbcOa4F;3OH!3;2020-11-27;48
album;6Sv3NdWLvFWc9zN4ffe27u;Sapphire;04ei5kNgmDuNAydFhhIHnD;Landon Cube;2020-12-04;21
single;3P5vWf0KJyYObvNKB7jP00;Lento;4TAoP0f9OuWZUesao43xUW;Mr Eazi;2020-12-04;59
single;6xNsSnDTOBBxzCmf0pY9w5;Cream;62DmErcU7dqZbJaDqwsqzR;Popcaan;2020-12-04;9
single;2E0PKS2C370Gfe44RBA7Db;All We Got (feat. KIDDO) [Joel Corry Remix];3t5xRXzsuZmMDkQzgOX35S;Robin Schulz;2020-11-27;54
